"one
one radical (no.1)
";一;"イチ
イツ
ひと-
"hand
hand radical (no. 64)
";扌;"シュ
";
"hold
have
";持;"ジ
も.つ
-も.ち
も.てる
";
"utilize
business
service
use
employ
";用;"ヨウ
もち.いる
";
"road with walls on both sides
";甬;"ヨウ
";
"walk
walking
road radical variant (no. 162)
";辶;"チャク
";
"traffic
pass through
avenue
commute
counter for letters, notes, documents, etc.
";通;"ツウ
ツ
とお.る
とお.り
-とお.り
-どお.り
とお.す
とお.し
-どお.し
かよ.う
";
"hand
";手;"シュ
ズ
て
て-
-て
た-
";
"evening
";夕;"セキ
ゆう
";
"many
frequent
much
";多;"タ
おお.い
まさ.に
まさ.る
";
"pig
hog
pig radical (no. 152)
";豕;"シ
";
"house
home
family
professional
expert
performer
";家;"カ
ケ
いえ
や
うち
";
"heavens
sky
imperial
";天;"テン
あまつ
あめ
あま-
";
"katakana no radical (no. 4)
";丿;"ヘツ
えい
よう
";
"frontier pass
close
relation
";关;"";
"connection
barrier
gateway
involve
concerning
";関;"カン
せき
-ぜき
かか.わる
からくり
かんぬき
";
"see
hopes
chances
idea
opinion
look at
visible
";見;"ケン
み.る
み.える
み.せる
";
"present
existing
actual
";現;"ゲン
あらわ.れる
あらわ.す
うつつ
うつ.つ
";
"whole
entire
all
complete
fulfill
";全;"ゼン
まった.く
すべ.て
";
"obstruction of breath (qi) as it seeks release
variant of other characters
";丂;"コウ
さまた.げられる
";
"consider
think over
";考;"コウ
かんが.える
かんが.え
";
"5th calendar sign
";戊;"ボ
ボウ
つちのえ
";
"turn into
become
get
grow
elapse
reach
";成;"セイ
ジョウ
な.る
な.す
-な.す
";
"cow
";牛;"ギュウ
うし
";
"thing
object
matter
";物;"ブツ
モツ
もの
もの-
";
"direction
person
alternative
";方;"ホウ
かた
-かた
-がた
";
"determine
fix
establish
decide
";定;"テイ
ジョウ
さだ.める
さだ.まる
さだ.か
";
"dart
arrow
";矢;"シ
や
";
"know
wisdom
";知;"チ
し.る
し.らせる
";
"by means of
because
in view of
compared with
";以;"イ
もっ.て
";
"oneself
";自;"ジ
シ
みずか.ら
おの.ずから
おの.ずと
";
"jewel
ball
";玉;"ギョク
たま
たま-
-だま
";
"box
box or enclosure radical (no. 31)
";囗;"イ
コク
";
"country
";国;"コク
くに
";
"heart
standing heart radical variant (no. 61)
";忄;"シン
こころ
";
"sex
gender
nature
";性;"セイ
ショウ
さが
";
"dotted tent radical (no. 105)
";癶;"ハツ
";
"departure
discharge
publish
emit
start from
disclose
counter for gunshots
";発;"ハツ
ホツ
た.つ
あば.く
おこ.る
つか.わす
はな.つ
";
"though
notwithstanding
while
during
both
all
";乍;"サ
サク
-なが.ら
たちま.ち
";
"make
production
prepare
build
";作;"サク
サ
つく.る
つく.り
-づく.り
";
"to be (classical)
";也;"ヤ
エ
なり
か
また
";
"ground
earth
";地;"チ
ジ
";
"tongue
reed
clapper
";舌;"ゼツ
した
";
"say
word
";言;"ゲン
ゴン
い.う
こと
";
"tale
talk
";話;"ワ
はな.す
はなし
";
"now
";今;"コン
キン
いま
";
"piling
ceremony radical (no. 56)
";弋;"ヨク
いぐるみ
";
"substitute
change
convert
replace
period
age
counter for decades of ages, eras, etc.
generation
charge
rate
fee
";代;"ダイ
タイ
か.わる
かわ.る
かわ.り
か.わり
-がわ.り
-が.わり
か.える
よ
しろ
";
"change
take the form of
influence
enchant
delude
-ization
";化;"カ
ケ
ば.ける
ば.かす
ふ.ける
け.する
";
"two-branch tree radical (no. 115)
";禾;"カ
いね
";
"private
I
me
";私;"シ
わたくし
わたし
";
"below
down
descend
give
low
inferior
";下;"カ
ゲ
した
しも
もと
さ.げる
さ.がる
くだ.る
くだ.り
くだ.す
-くだ.す
くだ.さる
お.ろす
お.りる
";
"divining
fortune-telling
divination or katakana to radical (no. 25)
";卜;"ボク
うらな.う
うらない
";
"outside
";外;"ガイ
ゲ
そと
ほか
はず.す
はず.れる
と-
";
"year
counter for years
";年;"ネン
とし
";
"legs radical (no. 10)
";儿;"ジン
ニン
がい
";
"before
ahead
previous
future
precedence
";先;"セン
さき
ま.ず
";
"child
sign of the rat
11PM-1AM
first sign of Chinese zodiac
";子;"シ
ス
ツ
こ
-こ
ね
";
"axe
1.32 lb
catty
counter for loaves of bread
axe radical (no. 69)
";斤;"キン
";
"place
extent
";所;"ショ
ところ
-ところ
どころ
とこ
";
"eye
class
look
insight
experience
care
favor
";目;"モク
ボク
め
-め
ま-
";
"little
small
";小;"ショウ
ちい.さい
こ-
お-
さ-
";
"few
little
";少;"ショウ
すく.ない
すこ.し
";
"yonder
facing
beyond
confront
defy
tend toward
approach
";向;"コウ
む.く
む.い
-む.き
む.ける
-む.け
む.かう
む.かい
む.こう
む.こう-
むこ
むか.い
";
"late
delayed
winter radical (no. 34)
";夂;"チ
しゅう
";
"kettle lid radical (no. 8)
";亠;"トウ
";
"also
again
";亦;"エキ
ヤク
また
";
"unusual
change
strange
";変;"ヘン
か.わる
か.わり
か.える
";
"study
learning
science
";学;"ガク
まな.ぶ
";
"matter
thing
fact
business
reason
possibly
";事;"ジ
ズ
こと
つか.う
つか.える
";
"lord
chief
master
main thing
principal
";主;"シュ
ス
シュウ
ぬし
おも
あるじ
";
"surface
table
chart
diagram
";表;"ヒョウ
おもて
-おもて
あらわ.す
あらわ.れる
あら.わす
";
"gone
past
quit
leave
elapse
eliminate
divorce
";去;"キョ
コ
さ.る
-さ.る
";
"water
water radical (no. 85)
";氵;"さんずい
";
"method
law
rule
principle
model
system
";法;"ホウ
ハッ
ホッ
フラン
のり
";
"brush
finally
self
relate
follow
here
fast
writing brush radical (no. 129)
";聿;"イチ
イツ
ふで
ここに
";
"write
";書;"ショ
か.く
-が.き
-がき
";
"three
";三;"サン
ゾウ
み
み.つ
みっ.つ
";
"short thread radical (no. 52)
";幺;"ヨウ
ちいさい
";
"halberd
arms
festival car
float
tasselled spear radical (no. 62)
";戈;"カ
ほこ
ほこづくり
";
"how many
how much
how far
how long
some
several
";幾;"キ
いく-
いく.つ
いく.ら
";
"loom
mechanism
machine
airplane
opportunity
potency
efficacy
occasion
";機;"キ
はた
";
"question
ask
problem
";問;"モン
と.う
と.い
とん
";
"ten
";十;"ジュウ
ジッ
ジュッ
とお
と
";
"un-
not yet
hitherto
still
even now
sign of the ram
1-3PM
eighth sign of Chinese zodiac
";未;"ミ
ビ
いま.だ
ま.だ
ひつじ
";
"flavor
taste
";味;"ミ
あじ
あじ.わう
";
"new
";新;"シン
あたら.しい
あら.た
あら-
にい-
";
"lack
gap
fail
yawning radical (no. 76)
";欠;"ケツ
ケン
か.ける
か.く
";
"two-stroke water radical or ice radical (no. 15)
";冫;"ヒョウ
こおり
";
"next
order
sequence
";次;"ジ
シ
つ.ぐ
つぎ
";
"twenty
twenty or letter H radical (no. 55)
";廾;"キョウ
ク
にじゅう
";
"open
initiate
begin
start
";开;"";
"open
unfold
unseal
";開;"カイ
ひら.く
ひら.き
-びら.き
ひら.ける
あ.く
あ.ける
";
"gentleman
scholar
samurai
samurai radical (no. 33)
";士;"シ
さむらい
";
"good luck
joy
congratulations
";吉;"キチ
キツ
よし
";
"thread
";糸;"シ
いと
";
"tie
bind
contract
join
organize
do up hair
fasten
";結;"ケツ
ケチ
むす.ぶ
ゆ.う
ゆ.わえる
";
"accept
undergo
answer (phone)
take
get
catch
receive
";受;"ジュ
う.ける
-う.け
う.かる
";
"name
noted
distinguished
reputation
";名;"メイ
ミョウ
な
-な
";
"pelt
skin
hide
leather
skin radical (no. 107)
";皮;"ヒ
かわ
";
"he
that
the
";彼;"ヒ
かれ
かの
か.の
";
"fit
suit
join
0.1
";合;"ゴウ
ガッ
カッ
あ.う
-あ.う
あ.い
あい-
-あ.い
-あい
あ.わす
あ.わせる
-あ.わせる
";
"all
same
";咸;"カン
ゲン
";
"emotion
feeling
sensation
";感;"カン
";
"fire
fire radical (no. 86)
";灬;"ヒョウ
カ
";
"nothingness
none
ain't
nothing
nil
not
";無;"ム
ブ
な.い
";
"show
indicate
point out
express
display
";示;"ジ
シ
しめ.す
";
"company
firm
office
association
shrine
";社;"シャ
やしろ
";
"near
early
akin
tantamount
";近;"キン
コン
ちか.い
";
"stop
halt
";止;"シ
と.まる
-ど.まり
と.める
-と.める
-ど.め
とど.める
とど.め
とど.まる
や.める
や.む
-や.む
よ.す
-さ.す
-さ.し
";
"correct
justice
righteous
10**40
";正;"セイ
ショウ
ただ.しい
ただ.す
まさ
まさ.に
";
"inside
within
between
among
house
home
";内;"ナイ
ダイ
うち
";
"bow
bow (archery, violin)
";弓;"キュウ
ゆみ
";
"strong
";強;"キョウ
ゴウ
つよ.い
つよ.まる
つよ.める
し.いる
こわ.い
";
"number one
line
rod radical (no. 2)
";丨;"コン
シ
ジョ
ニョ
すす.む
しりぞ.く
";
"pull
tug
jerk
admit
install
quote
refer to
";引;"イン
ひ.く
ひ.き
ひ.き-
-び.き
ひ.ける
";
"knife
standing sword radical (no. 18)
";刂;"トウ
";
"grass
straw
herbs
weeds
";䒑;"";
"in front
before
";前;"ゼン
まえ
-まえ
";
"officer
an official
";吏;"リ
";
"use
send on a mission
order
messenger
envoy
ambassador
cause
";使;"シ
つか.う
つか.い
-つか.い
-づか.い
";
"special
";特;"トク
";
"blue
green
";青;"セイ
ショウ
あお
あお-
あお.い
";
"feelings
emotion
passion
sympathy
circumstances
facts
";情;"ジョウ
セイ
なさ.け
";
"car
";車;"シャ
くるま
";
"take along
lead
join
connect
party
gang
clique
";連;"レン
つら.なる
つら.ねる
つ.れる
-づ.れ
";
"fruit
reward
carry out
achieve
complete
end
finish
succeed
";果;"カ
は.たす
はた.す
-は.たす
は.てる
-は.てる
は.て
";
"that
";其;"キ
ギ
ゴ
それ
その
";
"period
time
date
term
";期;"キ
ゴ
";
"sell
";売;"バイ
う.る
う.れる
";
"continue
series
sequel
";続;"ゾク
ショク
コウ
キョウ
つづ.く
つづ.ける
つぐ.ない
";
"clothes
clothing radical (no. 145
";衤;"ころも
";
"first time
beginning
";初;"ショ
はじ.め
はじ.めて
はつ
はつ-
うい-
-そ.める
-ぞ.め
";
"exist
outskirts
suburbs
located in
";在;"ザイ
あ.る
";
"page
leaf
";頁;"ケツ
ぺえじ
おおがい
かしら
";
"just so
this
right
justice
";是;"ゼ
シ
これ
この
ここ
";
"topic
subject
";題;"ダイ
";
"-times
round
game
revolve
counter for occurrences
";回;"カイ
エ
まわ.る
-まわ.る
-まわ.り
まわ.す
-まわ.す
まわ.し-
-まわ.し
もとお.る
か.える
";
"bird flying
high ambition
";隺;"コク
カク
あ.がる
";
"stone
";石;"セキ
シャク
コク
いし
";
"assurance
firm
tight
hard
solid
confirm
clear
evident
";確;"カク
コウ
たし.か
たし.かめる
";
"inter-
mutual
together
each other
minister of state
councillor
aspect
phase
physiognomy
";相;"ソウ
ショウ
あい-
";
"holy
sacred
";圣;"コツ
クツ
コチ
セイ
たがや.す
";
"sutra
longitude
pass thru
expire
warp
";経;"ケイ
キョウ
へ.る
た.つ
たていと
はか.る
のり
";
"decide
determine
archery glove
";夬;"カイ
ケツ
ケチ
わ.ける
";
"decide
fix
agree upon
appoint
";決;"ケツ
き.める
-ぎ.め
き.まる
さ.く
";
"wild goose
trailing cliff radical (no. 27)
";厂;"カン
かりがね
";
"meadow
original
primitive
field
plain
prairie
tundra
wilderness
";原;"ゲン
はら
";
"spoon
spoon or katakana hi radical (no. 21)
";匕;"ヒ
さじ
";
"delicious
relish
show a liking for
purport
will
clever
expert
";旨;"シ
むね
うま.い
";
"finger
point to
indicate
put into
play (chess)
measure (ruler)
";指;"シ
ゆび
さ.す
-さ.し
";
"fortune-telling
divining
forecasting
occupy
hold
have
get
take
";占;"セン
し.める
うらな.う
";
"spot
point
mark
speck
decimal point
";点;"テン
つ.ける
つ.く
た.てる
さ.す
とぼ.す
とも.す
ぼち
";
"dog
";犬;"ケン
いぬ
いぬ-
";
"half of tree trunk
rad. no. 90
";丬;"";
"status quo
conditions
circumstances
form
appearance
";状;"ジョウ
";
"separate
branch off
diverge
fork
another
extra
specially
";別;"ベツ
わか.れる
わ.ける
";
"negative
non-
bad
ugly
clumsy
";不;"フ
ブ
";
"sort of thing
so
if so
in that case
well
";然;"ゼン
ネン
しか
しか.り
しか.し
さ
";
"self
";己;"コ
キ
おのれ
つちのと
な
";
"scribe
account
narrative
";記;"キ
しる.す
";
"seven
";七;"シチ
なな
なな.つ
なの
";
"cut
cutoff
be sharp
";切;"セツ
サイ
き.る
-き.る
き.り
-き.り
-ぎ.り
き.れる
-き.れる
き.れ
-き.れ
-ぎ.れ
";
"lively
resuscitation
being helped
living
";活;"カツ
い.きる
い.かす
い.ける
";
"hear
ask
listen
";聞;"ブン
モン
き.く
き.こえる
";
Ei käännöstä;𣴎;"Ei lukutapoja";
"Esq.
way
manner
situation
polite suffix
";様;"ヨウ
ショウ
さま
さん
";
"upside-down box radical (no. 13)
";冂;"キョウ
ケイ
";
"same
agree
equal
";同;"ドウ
おな.じ
";
"neck
counter for songs and poems
";首;"シュ
くび
";
"road-way
street
district
journey
course
moral
teachings
";道;"ドウ
トウ
みち
いう
";
"faith
truth
fidelity
trust
";信;"シン
";
"attend
doing
official
serve
";仕;"シ
ジ
つか.える
";
"to get
complacent
to obstruct
to hinder
to stop progress
to injure
to offend
to concern
hindrance
restraint
";㝵;"";
"gain
get
find
earn
acquire
can
may
able to
profit
advantage
benefit
";得;"トク
え.る
う.る
";
"crowded
mixture
in bulk
included
(kokuji)
";込;"-こ.む
こ.む
こ.み
-こ.み
こ.める
";
"possess
have
exist
happen
occur
approx
";有;"ユウ
ウ
あ.る
";
"straightaway
honesty
frankness
fix
repair
";直;"チョク
ジキ
ジカ
ただ.ちに
なお.す
-なお.す
なお.る
なお.き
す.ぐ
";
"placement
put
set
deposit
leave behind
keep
employ
pawn
";置;"チ
お.く
-お.き
";
"relax
cheap
low
quiet
rested
contented
peaceful
";安;"アン
やす.い
やす.まる
やす
やす.らか
";
"other
another
the others
";他;"タ
ほか
";
"come
due
next
cause
become
";来;"ライ
タイ
く.る
きた.る
きた.す
き.たす
き.たる
き
こ
";
"strike
hit
folding chair radical variant (no. 66)
";攵;"ホク
";
"filial piety
child's respect
";孝;"コウ
キョウ
";
"teach
faith
doctrine
";教;"キョウ
おし.える
おそ.わる
";
"circumference
circuit
lap
";周;"シュウ
まわ.り
";
"tune
tone
meter
key (music)
writing style
prepare
exorcise
investigate
harmonize
mediate
";調;"チョウ
しら.べる
しら.べ
ととの.う
ととの.える
";
"bird
old bird radical (no. 172)
";隹;"サイ
スイ
とり
";
"gather
meet
congregate
swarm
flock
";集;"シュウ
あつ.まる
あつ.める
つど.う
";
"profit
advantage
benefit
";利;"リ
き.く
";
"elder brother
big brother
";兄;"ケイ
キョウ
あに
";
"opinion
theory
explanation
rumor
";説;"セツ
ゼイ
と.く
";
"adhere
attach
refer to
append
";付;"フ
つ.ける
-つ.ける
-づ.ける
つ.け
つ.け-
-つ.け
-づ.け
-づけ
つ.く
-づ.く
つ.き
-つ.き
-つき
-づ.き
-づき
";
"tool
utensil
means
possess
ingredients
counter for armor, suits, sets of furniture
";具;"グ
そな.える
つぶさ.に
";
"true
reality
Buddhist sect
";真;"シン
ま
ま-
まこと
";
"add
addition
increase
join
include
Canada
";加;"カ
くわ.える
くわ.わる
";
"sign of the snake or serpent
9-11AM
sixth sign of Chinese zodiac
";巳;"シ
み
";
"run
";走;"ソウ
はし.る
";
"rouse
wake up
get up
";起;"キ
お.きる
お.こる
お.こす
おこ.す
た.つ
";
"invariably
certain
inevitable
";必;"ヒツ
かなら.ず
";
"advance
proceed
progress
promote
";進;"シン
すす.む
すす.める
";
"generation
world
society
public
";世;"セイ
セ
ソウ
よ
";
"table
flat pieces of wood
slip
leaf
";枼;"ヨウ
うすいきふだ
まど
";
"grass
radical number 140
";艹;"";
"leaf
plane
lobe
needle
blade
spear
counter for flat things
fragment
piece
";葉;"ヨウ
は
";
"";冎;"カ
ケ
わ.ける
さ.く
";
"crooked mouth
evil
dishonest
";咼;"カイ
ケ
クウ
カ
よこしま
くちがゆがむ
ゆが.む
";
"overdo
exceed
go beyond
error
";過;"カ
す.ぎる
-す.ぎる
-す.ぎ
す.ごす
あやま.つ
あやま.ち
よ.ぎる
";
"apply
answer
yes
OK
reply
accept
";応;"オウ
ヨウ
-ノウ
あた.る
まさに
こた.える
";
"climax
arrive
proceed
reach
attain
result in
";至;"シ
いた.る
";
"corpse
remains
flag radical (no. 44)
";尸;"シ
かたしろ
";
"roof
house
shop
dealer
seller
";屋;"オク
や
";
"long
leader
superior
senior
";長;"チョウ
なが.い
おさ
";
"don
arrive
wear
counter for suits of clothing
";着;"チャク
ジャク
き.る
-ぎ
き.せる
-き.せ
つ.く
つ.ける
";
"pedestal
a stand
counter for machines and vehicles
";台;"ダイ
タイ
うてな
われ
つかさ
";
"commence
begin
";始;"シ
はじ.める
-はじ.める
はじ.まる
";
"voice
";声;"セイ
ショウ
こえ
こわ-
";
"have the honor to
sign of the monkey
3-5PM
ninth sign of Chinese zodiac
";申;"シン
もう.す
もう.し-
さる
";
"gods
mind
soul
";神;"シン
ジン
かみ
かん-
こう-
";
"ritual
offer prayers
celebrate
deify
enshrine
worship
";祭;"サイ
まつ.る
まつ.り
まつり
";
"occasion
side
edge
verge
dangerous
adventurous
indecent
time
when
";際;"サイ
きわ
-ぎわ
";
"be amazed
disgusted
shocked
";呆;"ホウ
ほけ.る
ぼ.ける
あき.れる
おろか
";
"protect
guarantee
keep
preserve
sustain
support
";保;"ホ
ホウ
たも.つ
";
"male
";男;"ダン
ナン
おとこ
お
";
"tanned leather radical (no. 178)
";韋;"イ
そむ.く
";
"difference
differ
";違;"イ
ちが.う
ちが.い
ちが.える
-ちが.える
たが.う
たが.える
";
"anti-
";反;"ハン
ホン
タン
ホ
そ.る
そ.らす
かえ.す
かえ.る
-かえ.る
";
"beans
pea
midget
";豆;"トウ
ズ
まめ
まめ-
";
"head
counter for large animals
";頭;"トウ
ズ
ト
あたま
かしら
-がしら
かぶり
";
"blade
sword
edge
";刃;"ジン
ニン
は
やいば
き.る
";
"endure
bear
put up with
conceal
secrete
spy
sneak
";忍;"ニン
しの.ぶ
しの.ばせる
";
"acknowledge
witness
discern
recognize
appreciate
believe
";認;"ニン
みと.める
したた.める
";
"west
bird
sign of the bird
5-7PM
tenth sign of Chinese zodiac
sake radical (no. 164)
";酉;"ユウ
とり
";
"distribute
spouse
exile
rationing
";配;"ハイ
くば.る
";
"jammed in
shellfish
mediate
concern oneself with
";介;"カイ
";
"world
boundary
";界;"カイ
";
"six
";六;"ロク
リク
む
む.つ
むっ.つ
むい
";
"ability
talent
skill
capacity
";能;"ノウ
よ.く
";
"attitude
condition
figure
appearance
voice (of verbs)
";態;"タイ
わざ.と
";
"four
";四;"シ
よ
よ.つ
よっ.つ
よん
";
"fundamentals
radical (chem)
counter for machines
foundation
";基;"キ
もと
もとい
";
"moreover
also
furthermore
";且;"ショ
ソ
ショウ
か.つ
";
"association
braid
plait
construct
assemble
unite
cooperate
grapple
";組;"ソ
く.む
くみ
-ぐみ
";
"simple
one
single
merely
";単;"タン
ひとえ
";
"war
battle
match
";戦;"セン
いくさ
たたか.う
おのの.く
そよ.ぐ
わなな.く
";
"three
hair ornament
short hair or fur radical (no. 59)
";彡;"サン
セン
";
"shape
form
style
";形;"ケイ
ギョウ
かた
-がた
かたち
なり
";
"a cup with pendants
a pennant
wild
barren
uncultivated
";㐬;"";
"current
a sink
flow
forfeit
";流;"リュウ
ル
なが.れる
なが.れ
なが.す
-なが.す
";
"five
";五;"ゴ
いつ
いつ.つ
";
"shellfish
";貝;"バイ
かい
";
"employee
member
number
the one in charge
";員;"イン
";
"exist
suppose
be aware of
believe
feel
";存;"ソン
ゾン
ながら.える
あ.る
たも.つ
と.う
";
"bare bone
bad
wrong
death radical (n. 78)
";歹;"ガツ
ガチ
タイ
";
"death
die
";死;"シ
し.ぬ
し.に-
";
"somebody
person
one's station in life
";身;"シン
み
";
"return
answer
fade
repay
";返;"ヘン
かえ.す
-かえ.す
かえ.る
-かえ.る
";
"high & level
lofty
bald
dangerous
";兀;"コツ
";
"beginning
former time
origin
";元;"ゲン
ガン
もと
";
"lineage
system
";系;"ケイ
";
"person in charge
connection
duty
concern oneself
";係;"ケイ
かか.る
かかり
-がかり
かか.わる
";
"system
law
rule
";制;"セイ
";
"beforehand
previous
myself
I
";予;"ヨ
シャ
あらかじ.め
";
"plains
field
rustic
civilian life
";野;"ヤ
ショ
の
の-
";
"products
bear
give birth
yield
childbirth
native
property
";産;"サン
う.む
う.まれる
うぶ-
む.す
";
"parent
intimacy
relative
familiarity
dealer (cards)
";親;"シン
おや
おや-
した.しい
した.しむ
";
"fond
pleasing
like something
";好;"コウ
この.む
す.く
よ.い
い.い
";
"plot
plan
scheme
measure
";計;"ケイ
はか.る
はか.らう
";
"lad
boy (ancient)
";彦;"ゲン
ひこ
";
"face
expression
";顔;"ガン
かお
";
"Asia
rank next
come after
-ous
";亜;"ア
つ.ぐ
";
"bad
vice
rascal
false
evil
wrong
";悪;"アク
オ
わる.い
わる-
あ.し
にく.い
-にく.い
ああ
いずくに
いずくんぞ
にく.む
";
"table
table enclosure
table or windy radical (no. 16)
";几;"キ
きにょう
";
"pike
windy-again radical (no. 79)
";殳;"シュ
また
ほこ
";
"establishment
provision
prepare
";設;"セツ
もう.ける
";
