為	2757776
居	1227449
有	1042567
事	1032938
十	957192
一	925941
言	902832
成	750947
其	747392
二	709092
人	678777
出	577952
無	575815
此	570457
来	518260
日	516435
三	485293
行	480890
様	478169
時	472972
物	453578
分	447561
年	439234
御	438878
方	423756
見	415355
大	405702
何	397771
五	362427
上	352777
中	351472
生	336506
四	328212
本	323927
的	317298
百	312960
合	304001
間	302306
者	298583
思	297051
自	291661
会	284623
国	282946
所	268885
九	268065
良	260401
付	254144
入	249214
場	246991
六	243496
下	243415
私	242163
手	239036
気	238118
八	236959
地	233819
子	233265
後	232626
前	231539
業	225284
定	223641
千	220011
取	217602
七	216752
今	216327
度	213694
用	211993
体	207085
月	206388
目	204622
学	202672
因	202460
彼	198487
当	194690
対	191078
内	187320
等	186242
処	186114
作	185322
動	185073
実	182876
全	182238
理	181001
仕	179868
性	177743
法	175302
通	174018
同	168751
関	168405
部	166764
立	165941
発	164527
要	164490
然	163191
知	161971
達	161854
持	161356
家	160294
金	157477
力	157110
化	152856
第	151625
女	149312
意	148975
社	147185
又	146870
先	144205
高	141819
書	140004
長	138041
問	137518
最	137005
心	136181
話	135143
考	135037
現	132946
回	132772
代	132202
掛	128058
以	127427
明	126201
数	124772
外	124558
変	124439
教	124378
多	121440
感	120839
開	119585
主	117298
表	117021
置	116606
不	116511
舞	116174
保	115154
員	115153
使	112545
市	112350
面	112258
遣	111703
機	111614
経	111282
新	109682
小	109672
食	108184
期	107661
零	107360
切	106791
民	105727
少	104754
名	104519
水	104265
文	104009
相	103025
結	103011
味	102443
直	101245
聞	101176
向	100820
政	100519
活	100311
世	99658
受	99116
込	96976
可	96754
題	95755
共	95603
特	94910
品	94844
産	94599
必	94177
道	93596
設	93506
調	92150
連	91269
利	91157
正	91143
他	90944
確	90882
料	89692
引	89613
座	89422
点	89244
近	89157
続	89004
円	88838
能	88449
戦	88192
決	88057
張	87100
身	86759
訳	86590
加	86361
記	86011
制	85996
次	85990
公	85880
進	85421
画	85100
万	85066
在	85011
指	84723
情	84689
重	84675
務	84615
於	84400
供	84341
車	83964
過	83726
色	83322
別	83043
解	82742
計	82515
図	82236
資	81692
状	81049
強	80863
得	80668
電	79824
違	77755
報	77068
論	76712
安	76066
基	75754
初	74940
形	74795
男	74768
始	74609
質	73530
語	72663
真	72655
口	72553
組	72041
果	71988
集	71983
返	71633
止	71473
条	71416
流	71322
議	70653
平	70368
風	69510
約	68931
着	67511
信	67189
山	67158
呉	66912
運	66642
参	66398
育	66111
元	66020
例	65883
及	65746
交	65238
選	64964
未	64750
係	64485
神	64226
支	64051
権	63948
価	63933
認	63732
屋	63608
界	63519
応	63357
親	63146
際	63042
示	62723
更	62694
常	62538
件	61932
住	61354
害	61094
校	60958
楽	60587
規	60509
原	60461
葉	60336
番	60124
済	60049
白	59873
予	59745
好	59575
空	59567
施	59251
査	59021
売	58911
格	58390
増	58246
土	58227
和	58198
笑	58075
構	57879
若	57834
域	57761
落	57619
足	57473
態	57367
貴	57326
難	57307
線	57302
起	57030
費	56629
母	56297
配	56233
海	56016
説	55170
種	54637
申	54631
備	54566
術	54279
限	54241
我	54069
乗	53946
式	53705
消	53621
振	53473
治	53310
頭	53229
死	53175
反	53121
余	53116
送	53059
悪	52759
程	52590
存	52559
終	52556
顔	51822
工	51417
店	51313
天	51065
判	51058
声	50972
音	50896
早	50602
役	50456
素	50032
転	49918
位	49512
歳	49481
君	49391
半	49128
病	49014
義	49009
伝	48937
収	48817
容	48585
職	48450
或	48280
差	48265
残	48047
僕	47995
改	47948
団	47801
広	47756
策	47577
検	47511
側	47455
都	47411
命	47391
故	47298
象	47297
量	47214
町	46976
区	46937
働	46654
防	46624
研	46443
父	46253
想	46237
皆	46213
額	46206
総	45719
注	45559
項	45549
放	45418
急	45382
段	45363
買	45263
整	45161
号	44994
割	44854
告	44830
由	44783
県	44769
験	44760
護	44733
軍	44706
待	44596
答	44460
求	43860
断	43643
各	43601
企	43583
観	43379
歩	43245
朝	43147
単	43060
識	42939
個	42863
詰	42797
営	42589
頃	42583
比	42465
美	42460
究	42321
木	42290
類	42250
貰	42202
非	42107
呼	41947
委	41929
院	41867
読	41855
頂	41763
型	41715
府	41603
積	41386
再	41195
任	41165
率	41123
夫	41122
技	41049
愛	40847
協	40844
医	40689
字	40684
管	40275
夜	40233
境	40205
接	40045
減	39948
労	39946
商	39936
打	39931
侭	39802
勝	39743
税	39627
準	39613
証	39495
野	39480
覚	39412
効	39362
光	39341
険	39263
族	39202
従	38963
矢	38814
両	38759
提	38490
建	38457
造	38330
科	37872
与	37659
移	37650
除	37353
離	37214
易	37203
負	37035
誰	36913
局	36707
環	36676
花	36657
投	36656
影	36629
細	36619
毎	36582
火	36186
室	36183
適	36158
視	36015
助	35961
器	35947
石	35822
館	35753
士	35743
農	35709
値	35677
療	35560
導	35556
況	35460
課	35299
写	35288
算	35286
優	35195
極	35157
念	35027
省	35003
製	34923
官	34529
失	34362
具	34132
低	34047
路	34043
午	34004
師	33812
材	33737
米	33541
展	33524
階	33510
台	33469
飛	33368
異	33288
健	33053
門	33025
習	32918
寸	32788
給	32600
願	32277
